order_id,customer_name,product,amount,order_date
ORD-0065,lisa anderson,Webcam,11.81,2024-01-27
ORD-0066,james taylor,Webcam,1360.19,2024-04-16
ORD-0067,michael wilson,Webcam,1834.15,2024-05-29
ORD-0068,robert brown,Tablet,1270.43,2024-12-05
ORD-0069,mary thomas,Laptop,248.15,2024-05-30
ORD-0070,john smith,Phone,312.46,2024-03-08
ORD-0071,sarah johnson,Keyboard,1906.36,2024-09-06
ORD-0072,sarah johnson,Mouse,734.56,2024-09-05
ORD-0073,lisa anderson,Monitor,1587.78,2024-06-13
ORD-0074,mary thomas,Monitor,118.82,2024-07-11
ORD-0075,james taylor,Monitor,1940.4,2024-03-04
ORD-0076,james taylor,Phone,343.05,2024-12-02
ORD-0077,emily davis,Keyboard,1759.61,2024-09-10
ORD-0078,emily davis,Laptop,551.02,2024-09-06
ORD-0079,john smith,Tablet,1960.27,2024-11-19
ORD-0080,mary thomas,Keyboard,1492.14,2024-04-12
ORD-0081,lisa anderson,Monitor,852.1,2024-07-12
ORD-0082,emily davis,Monitor,1196.63,2024-11-26
ORD-0083,michael wilson,Monitor,322.12,2024-11-20
ORD-0084,jane doe,Laptop,1816.63,2024-05-29
ORD-0085,david lee,Monitor,1525.63,2024-02-06
ORD-0086,mary thomas,Monitor,1151.8,2024-07-24
ORD-0087,sarah johnson,Phone,1468.69,2024-06-22
ORD-0088,mary thomas,Webcam,1482.72,2024-07-17
ORD-0089,sarah johnson,Phone,511.19,2024-03-18
ORD-0090,john smith,Phone,633.93,2024-09-09
ORD-0091,david lee,Webcam,889.42,2024-10-08
ORD-0092,james taylor,Keyboard,408.38,2024-09-03
ORD-0093,jane doe,Laptop,1757.91,2024-04-12
ORD-0094,james taylor,Mouse,580.17,2024-03-04
ORD-0095,lisa anderson,Webcam,1166.16,2024-09-18
ORD-0096,lisa anderson,Monitor,1835.87,2024-12-01
ORD-0097,jane doe,Monitor,938.56,2024-03-01
ORD-0098,emily davis,Monitor,1067.62,2024-11-10
ORD-0099,mary thomas,Laptop,1252.98,2024-02-09
ORD-0100,jane doe,Keyboard,1413.17,2024-11-16
ORD-0001,john smith,Laptop,999.99,2024-01-01
ORD-0002,jane doe,Phone,599.99,2024-01-02
ORD-0101,test user,Tablet,-50.0,2024-03-01
ORD-0102,test user,Monitor,0,2024-03-02
